bin,count,count_error,probability,probability_error,relative_error,mean,mean_error,variance
0,224,14.966629547095765,0.0687116564417178,0.004590990658618333,0.0668153104781061,2.323312883435583,0.04866656187482068,1.6893338100794155
1,671,25.903667693977237,0.2058282208588957,0.00794591033557584,0.038604571824109146,2.323312883435583,0.04866656187482068,1.6893338100794155
2,986,22.20360331117452,0.3024539877300613,0.006810921261096478,0.02251886745555225,2.323312883435583,0.04866656187482068,1.6893338100794155
3,799,16.319722219858196,0.2450920245398773,0.005006049760692698,0.02042518425514167,2.323312883435583,0.04866656187482068,1.6893338100794155
4,408,10.099504938362077,0.12515337423312883,0.0030980076498043183,0.024753688574416857,2.323312883435583,0.04866656187482068,1.6893338100794155
5,134,5.176871642217914,0.041104294478527606,0.0015879974362631637,0.03863337046431279,2.323312883435583,0.04866656187482068,1.6893338100794155
6,34,2.3804761428476167,0.010429447852760737,0.0007302074057814775,0.07001400420140048,2.323312883435583,0.04866656187482068,1.6893338100794155
7,4,0.7559289460184544,0.001226993865030675,0.00023188004479093692,0.1889822365046136,2.323312883435583,0.04866656187482068,1.6893338100794155
8,0,0.0,0.0,0.0,,2.323312883435583,0.04866656187482068,1.6893338100794155
9,0,0.0,0.0,0.0,,2.323312883435583,0.04866656187482068,1.6893338100794155
