bin,count,count_error,probability,probability_error,relative_error,mean,mean_error,variance
0,183,13.527749258468683,0.14710610932475884,0.010874396510023056,0.07392212709545729,1.9421221864951768,0.06777326948057621,1.710476525263387
1,319,17.86057109949175,0.25643086816720256,0.014357372266472468,0.055989251095585425,1.9421221864951768,0.06777326948057621,1.710476525263387
2,319,12.62933094031509,0.25643086816720256,0.010152195289642355,0.03959037912324479,1.9421221864951768,0.06777326948057621,1.710476525263387
3,271,9.504384952922168,0.21784565916398713,0.007640180830323286,0.035071531191594715,1.9421221864951768,0.06777326948057621,1.710476525263387
4,119,5.454356057317857,0.09565916398713827,0.0043845305926992414,0.04583492485141056,1.9421221864951768,0.06777326948057621,1.710476525263387
5,29,2.4083189157584592,0.023311897106109324,0.001935947681477861,0.08304547985373997,1.9421221864951768,0.06777326948057621,1.710476525263387
6,3,0.7071067811865476,0.002411575562700965,0.0005684138112432055,0.23570226039551587,1.9421221864951768,0.06777326948057621,1.710476525263387
7,1,0.3779644730092272,0.0008038585209003215,0.00030382996222606687,0.3779644730092272,1.9421221864951768,0.06777326948057621,1.710476525263387
8,0,0.0,0.0,0.0,,1.9421221864951768,0.06777326948057621,1.710476525263387
9,0,0.0,0.0,0.0,,1.9421221864951768,0.06777326948057621,1.710476525263387
