Counter;X;Y
1;-5.7108595209;9.8664118874
2;-1.9561841658;10.3161690326
3;1.9623922896;10.3149898934
4;5.6713482116;9.8891763794
5;9.2199239685;9.1647696106
6;9.8664118874;5.7108595209
7;10.3161690326;1.9561841658
8;10.3149898934;-1.9623922896
9;9.8891763794;-5.6713482116
10;9.1647696106;-9.2199239685
11;5.7108595209;-9.8664118874
12;1.9561841658;-10.3161690326
13;-1.9623922896;-10.3149898934
14;-5.6713482116;-9.8891763794
15;-9.2199239685;-9.1647696106
16;-9.8664118874;-5.7108595209
17;-10.3161690326;-1.9561841658
18;-10.3149898934;1.9623922896
19;-9.8891763794;5.6713482116
20;-9.1647696106;9.2199239685
21;-8.6808658058;14.149295702
22;-4.4773834939;14.5255993697
23;0.0438000231;14.5999342998
24;4.5847232152;14.4920775957
25;8.748630977;14.1074964479
26;12.4748891468;12.4151979757
27;14.149295702;8.6808658058
28;14.5255993697;4.4773834939
29;14.5999342998;-0.0438000231
30;14.4920775957;-4.5847232152
31;14.1074964479;-8.748630977
32;12.4151979757;-12.4748891468
33;8.6808658058;-14.149295702
34;4.4773834939;-14.5255993697
35;-0.0438000231;-14.5999342998
36;-4.5847232152;-14.4920775957
37;-8.748630977;-14.1074964479
38;-12.4748891468;-12.4151979757
39;-14.149295702;-8.6808658058
40;-14.5255993697;-4.4773834939
41;-14.5999342998;0.0438000231
42;-14.4920775957;4.5847232152
43;-14.1074964479;8.748630977
44;-12.4151979757;12.4748891468
45;-12.1363816862;16.6453669099
46;-7.4027360638;18.1482643459
47;-2.6047928819;18.6186748734
48;2.7424649483;18.5988947523
49;7.5982359157;18.0672856558
50;12.2260593069;16.5796101831
51;16.1718911431;16.0720234214
52;16.6453669099;12.1363816862
53;18.1482643459;7.4027360638
54;18.6186748734;2.6047928819
55;18.5988947523;-2.7424649483
56;18.0672856558;-7.5982359157
57;16.5796101831;-12.2260593069
58;16.0720234214;-16.1718911431
59;12.1363816862;-16.6453669099
60;7.4027360638;-18.1482643459
61;2.6047928819;-18.6186748734
62;-2.7424649483;-18.5988947523
63;-7.5982359157;-18.0672856558
64;-12.2260593069;-16.5796101831
65;-16.1718911431;-16.0720234214
66;-16.6453669099;-12.1363816862
67;-18.1482643459;-7.4027360638
68;-18.6186748734;-2.6047928819
69;-18.5988947523;2.7424649483
70;-18.0672856558;7.5982359157
71;-16.5796101831;12.2260593069
72;-16.0720234214;16.1718911431
73;-15.349715237;20.7370740979
74;-11.4316085474;21.5563987256
75;-8.4015641944;23.7582347637
76;-4.3127198423;22.3883998437
77;0.0681393487;21.9998944777
78;4.4200522476;22.3674571225
79;8.6527513151;23.6679085405
80;11.6507678326;21.4387408425
81;15.5767001466;20.5671196949
82;20.7370740979;15.349715237
83;21.5563987256;11.4316085474
84;23.7582347637;8.4015641944
85;22.3883998437;4.3127198423
86;21.9998944777;-0.0681393487
87;22.3674571225;-4.4200522476
88;23.6679085405;-8.6527513151
89;21.4387408425;-11.6507678326
90;20.5671196949;-15.5767001466
91;15.349715237;-20.7370740979
92;11.4316085474;-21.5563987256
93;8.4015641944;-23.7582347637
94;4.3127198423;-22.3883998437
95;-0.0681393487;-21.9998944777
96;-4.4200522476;-22.3674571225
97;-8.6527513151;-23.6679085405
98;-11.6507678326;-21.4387408425
99;-15.5767001466;-20.5671196949
100;-20.7370740979;-15.349715237
101;-21.5563987256;-11.4316085474
102;-23.7582347637;-8.4015641944
103;-22.3883998437;-4.3127198423
104;-21.9998944777;0.0681393487
105;-22.3674571225;4.4200522476
106;-23.6679085405;8.6527513151
107;-21.4387408425;11.6507678326
108;-20.5671196949;15.5767001466
109;-2.1391101833;26.5138493551
110;2.2554570678;26.5042055798
111;26.5138493551;2.1391101833
112;26.5042055798;-2.2554570678
113;2.1391101833;-26.5138493551
114;-2.2554570678;-26.5042055798
115;-26.5138493551;-2.1391101833
116;-26.5042055798;2.2554570678
