bin,count,count_error,probability,probability_error,relative_error,mean,mean_error,variance
0,24,4.898979485566356,0.17142857142857143,0.034992710611188256,0.20412414523193148,1.7428571428571429,0.18478574781284457,1.5767346938775506
1,43,6.557438524302,0.30714285714285716,0.04683884660215715,0.15249857033260467,1.7428571428571429,0.18478574781284457,1.5767346938775506
2,34,4.123105625617661,0.24285714285714285,0.029450754468697576,0.12126781251816648,1.7428571428571429,0.18478574781284457,1.5767346938775506
3,25,2.886751345948129,0.17857142857142858,0.020619652471058066,0.11547005383792516,1.7428571428571429,0.18478574781284457,1.5767346938775506
4,12,1.7320508075688772,0.08571428571428572,0.012371791482634837,0.14433756729740643,1.7428571428571429,0.18478574781284457,1.5767346938775506
5,2,0.6324555320336759,0.014285714285714285,0.004517539514526256,0.31622776601683794,1.7428571428571429,0.18478574781284457,1.5767346938775506
6,0,0.0,0.0,0.0,,1.7428571428571429,0.18478574781284457,1.5767346938775506
7,0,0.0,0.0,0.0,,1.7428571428571429,0.18478574781284457,1.5767346938775506
8,0,0.0,0.0,0.0,,1.7428571428571429,0.18478574781284457,1.5767346938775506
9,0,0.0,0.0,0.0,,1.7428571428571429,0.18478574781284457,1.5767346938775506
