bin,count,count_error,probability,probability_error,relative_error,mean,mean_error,variance
0,30,5.477225575051661,0.16574585635359115,0.030260914779290944,0.18257418583505539,1.6519337016574585,0.15557447731157223,1.342938249748176
1,56,7.483314773547883,0.30939226519337015,0.04134428051683913,0.1336306209562122,1.6519337016574585,0.15557447731157223,1.342938249748176
2,55,5.244044240850758,0.30386740331491713,0.028972620115197557,0.09534625892455924,1.6519337016574585,0.15557447731157223,1.342938249748176
3,31,3.2145502536643185,0.1712707182320442,0.017759946152841537,0.10369516947304253,1.6519337016574585,0.15557447731157223,1.342938249748176
4,6,1.224744871391589,0.03314917127071823,0.0067665462507822596,0.20412414523193148,1.6519337016574585,0.15557447731157223,1.342938249748176
5,2,0.6324555320336759,0.011049723756906077,0.0034942294587495906,0.31622776601683794,1.6519337016574585,0.15557447731157223,1.342938249748176
6,1,0.408248290463863,0.0055248618784530384,0.00225551541692742,0.408248290463863,1.6519337016574585,0.15557447731157223,1.342938249748176
7,0,0.0,0.0,0.0,,1.6519337016574585,0.15557447731157223,1.342938249748176
8,0,0.0,0.0,0.0,,1.6519337016574585,0.15557447731157223,1.342938249748176
9,0,0.0,0.0,0.0,,1.6519337016574585,0.15557447731157223,1.342938249748176
