bin,count,count_error,probability,probability_error,relative_error,mean,mean_error,variance
0,9,3.0,0.06923076923076923,0.023076923076923078,0.3333333333333333,2.1,0.22377873687400032,1.4130769230769227
1,36,6.0,0.27692307692307694,0.046153846153846156,0.16666666666666666,2.1,0.22377873687400032,1.4130769230769227
2,38,4.358898943540674,0.2923076923076923,0.0335299918733898,0.1147078669352809,2.1,0.22377873687400032,1.4130769230769227
3,30,3.1622776601683795,0.23076923076923078,0.024325212770525996,0.10540925533894599,2.1,0.22377873687400032,1.4130769230769227
4,14,1.8708286933869707,0.1076923076923077,0.014390989949130543,0.1336306209562122,2.1,0.22377873687400032,1.4130769230769227
5,3,0.7745966692414834,0.023076923076923078,0.00595843591724218,0.25819888974716115,2.1,0.22377873687400032,1.4130769230769227
6,0,0.0,0.0,0.0,,2.1,0.22377873687400032,1.4130769230769227
7,0,0.0,0.0,0.0,,2.1,0.22377873687400032,1.4130769230769227
8,0,0.0,0.0,0.0,,2.1,0.22377873687400032,1.4130769230769227
9,0,0.0,0.0,0.0,,2.1,0.22377873687400032,1.4130769230769227
